Start Date,Year,Cycle,ENL,RES
5/9/2017 18:00:00,2017,18,80000,172000
5/17/2017 1:00:00,2017,19,102000,476000
5/24/2017 8:00:00,2017,20,75000,5200000
5/31/2017 15:00:00,2017,21,108000,149000
6/7/2017 22:00:00,2017,22,80000,179000
6/15/2017 5:00:00,2017,23,91000,5200000
6/22/2017 12:00:00,2017,24,66000,5400000
6/29/2017 19:00:00,2017,25,87000,994000
7/7/2017 2:00:00,2017,26,83000,476000
7/14/2017 9:00:00,2017,27,133000,351000
7/21/2017 16:00:00,2017,28,162000,262000
7/28/2017 23:00:00,2017,29,82000,2900000
8/5/2017 6:00:00,2017,30,157000,1500000
8/12/2017 13:00:00,2017,31,123000,293000
8/19/2017 20:00:00,2017,32,93000,1100000
8/27/2017 3:00:00,2017,33,100000,200000
9/3/2017 10:00:00,2017,34,82000,1500000
9/10/2017 17:00:00,2017,35,47000,684000
9/18/2017 0:00:00,2017,36,65000,2200000
9/25/2017 7:00:00,2017,37,97000,1800000
10/2/2017 14:00:00,2017,38,119000,258000
10/9/2017 21:00:00,2017,39,119000,666000
10/17/2017 4:00:00,2017,40,94000,844000
10/24/2017 11:00:00,2017,41,142000,203000
10/31/2017 18:00:00,2017,42,114000,1600000
11/8/2017 1:00:00,2017,43,106000,1800000
11/15/2017 8:00:00,2017,44,42000,2700000
11/22/2017 15:00:00,2017,45,65000,925000
11/29/2017 22:00:00,2017,46,79000,4400000
12/7/2017 5:00:00,2017,47,79000,8700000
12/14/2017 12:00:00,2017,48,146000,4100000
12/21/2017 19:00:00,2017,49,70000,6200000
12/29/2017 2:00:00,2017,50,102000,997000
1/5/2018 9:00:00,2018,01,121000,1200000
1/12/2018 16:00:00,2018,02,155000,205000
1/19/2018 23:00:00,2018,03,165000,217000
1/27/2018 6:00:00,2018,04,150000,1900000
2/3/2018 13:00:00,2018,05,141000,2400000
2/10/2018 20:00:00,2018,06,126000,3800000
2/18/2018 3:00:00,2018,07,125000,1800000
2/25/2018 10:00:00,2018,08,100000,5500000
3/4/2018 17:00:00,2018,09,72000,6500000
3/12/2018 0:00:00,2018,10,104000,3600000
3/19/2018 7:00:00,2018,11,78000,3500000
3/26/2018 14:00:00,2018,12,128000,2400000
4/2/2018 21:00:00,2018,13,58000,3600000
4/10/2018 4:00:00,2018,14,12000,3500000
4/17/2018 11:00:00,2018,15,24000,511000
4/24/2018 18:00:00,2018,16,40000,626000
5/2/2018 1:00:00,2018,17,27000,1800000
5/9/2018 8:00:00,2018,18,14000,2300000
5/16/2018 15:00:00,2018,19,23000,1500000
5/23/2018 22:00:00,2018,20,95000,1400000
5/31/2018 5:00:00,2018,21,44000,1100000
6/7/2018 12:00:00,2018,22,46000,1400000
6/14/2018 19:00:00,2018,23,12000,7200000
6/22/2018 2:00:00,2018,24,84000,1900000
6/29/2018 9:00:00,2018,25,75000,305000
7/6/2018 16:00:00,2018,26,90000,162000
7/13/2018 23:00:00,2018,27,54000,4700000
7/21/2018 6:00:00,2018,28,6100,2900000
7/28/2018 13:00:00,2018,29,36000,5400000
8/4/2018 20:00:00,2018,30,25000,2500000
8/12/2018 3:00:00,2018,31,137000,654000
8/19/2018 10:00:00,2018,32,18000,4700000
8/26/2018 17:00:00,2018,33,66000,1200000
9/3/2018 0:00:00,2018,34,78000,614000
9/10/2018 7:00:00,2018,35,108000,1800000
9/17/2018 14:00:00,2018,36,141000,379000
9/24/2018 21:00:00,2018,37,117000,437000
10/2/2018 4:00:00,2018,38,102000,9200000
10/9/2018 11:00:00,2018,39,40000,10000000
10/16/2018 18:00:00,2018,40,100000,2400000
10/24/2018 1:00:00,2018,41,75000,4000000
10/31/2018 8:00:00,2018,42,55000,4100000
11/7/2018 15:00:00,2018,43,33000,645000
11/14/2018 22:00:00,2018,44,36000,3100000
11/22/2018 5:00:00,2018,45,32000,649000
11/29/2018 12:00:00,2018,46,34000,491000
12/6/2018 19:00:00,2018,47,31000,669000
12/14/2018 2:00:00,2018,48,10000,1700000
12/21/2018 9:00:00,2018,49,20000,1300000
12/28/2018 16:00:00,2018,50,50000,1800000
1/4/2019 23:00:00,2019,01,1900,2000000
1/12/2019 6:00:00,2019,02,20000,582000
1/19/2019 13:00:00,2019,03,47000,503000
1/26/2019 20:00:00,2019,04,77000,696000
2/3/2019 3:00:00,2019,05,24000,959000
2/10/2019 10:00:00,2019,06,18000,2500000
2/17/2019 17:00:00,2019,07,13000,3800000
2/25/2019 0:00:00,2019,08,86,5600000
